id,name,ra,dec,type
1042304,"IRAS 08076+1619",122.613333333333,16.1816666666667,"IR"
955001,"C*  696",108.950416666667,9.02944444444445,"C*"
876225,"LEE  42",95.575,10.9166666666667,"C*"
1055015,"IRAS 08031-2528",121.319166666667,-25.6188888888889,"IR"
1057835,"IRAS 08120-3616",123.485,-36.4236111111111,"IR"
719909,"[M97c] 183b",67.625,14.1666666666667,"Star"
700354,"GEN# +5.20257107",62.25,8.25,"*inCl"
691031,"StKM 1-451",61.5666666666667,17.1233333333333,"Star"
1063163,"IRAS 08231+2221",126.51375,22.1947222222222,"IR"
1064234,"[SD87]  41",124.467083333333,20.7663888888889,"Radio"
1064222,"[SD87]  26",124.399583333333,21.0344444444444,"Radio"
1437511,"BD+11   189",22.54375,12.0561111111111,"**"
2414002,"RCW 137",266.42625,-29.3683333333333,"HII"
1084562,"1RXS J082506.1-340517",126.275408333333,-34.08805,"X"
717969,"HH 395",70.03625,25.7788888888889,"HH"
707704,"HH 411",67.5,24.7,"HH"
2488169,"HH 312",246.483333333333,-24.3463888888889,"HH"
717967,"HH 466",68.3975,24.3588888888889,"HH"
